{'timestamp': 1683215613.2188747, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2240655, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.224126, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.229378, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2294276, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2346857, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.234728, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2399855, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2400308, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2452867, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2453392, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.250555, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2505975, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2558057, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2558568, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.261084, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
